query,response,category,symptom,condition,response_type,timestamp
How long does swelling typically last with rheumatoid arthritis?,"For swelling, it's advisable to ensure adequate sleep. If symptoms persist, please consult a healthcare provider.",Musculoskeletal,swelling,rheumatoid arthritis,advice,2024-04-14T09:56:18.116752
I have swollen lymph nodes. Should I be concerned?,"Many people with swollen lymph nodes find relief by use a heating pad for comfort, but this doesn't replace professional medical care.",Infectious,swollen lymph nodes,urinary tract infection,advice,2024-12-12T09:56:18.116752
What are the common treatments for valve disease?,"While palpitations is commonly seen in valve disease, only a medical professional can provide a proper diagnosis after examination.",Cardiovascular,palpitations,valve disease,diagnosis,2024-08-10T09:56:18.116752
Are there any home remedies for increased urination?,Cushing's syndrome is a endocrine condition characterized by increased urination. Treatment typically involves exercise regimens.,Endocrine,increased urination,Cushing's syndrome,information,2025-02-06T09:56:18.116752
Are there any home remedies for nausea?,"Your symptoms of nausea for a few hours could suggest Crohn's disease, but other causes should be ruled out by a healthcare provider.",Gastrointestinal,nausea,Crohn's disease,diagnosis,2024-10-17T09:56:18.116752
Are there any home remedies for joint pain?,"For joint pain, it's advisable to elevate the affected area. If symptoms persist, please consult a healthcare provider.",Musculoskeletal,joint pain,fibromyalgia,advice,2024-07-29T09:56:18.116752
My nose has been hurting for two weeks. What might be causing this?,"nausea can be associated with several conditions including gallstones. However, proper diagnosis requires medical evaluation.",Gastrointestinal,nausea,gallstones,diagnosis,2024-06-24T09:56:18.116752
"My doctor mentioned valve disease, but I don't understand what it means. Can you explain?","For fatigue, it's advisable to maintain a balanced diet. If symptoms persist, please consult a healthcare provider.",Cardiovascular,fatigue,valve disease,advice,2024-04-25T09:56:18.116752
I've been experiencing diarrhea for several months. What could this be?,"Many people with diarrhea find relief by apply ice to reduce swelling, but this doesn't replace professional medical care.",Gastrointestinal,diarrhea,Crohn's disease,advice,2024-09-20T09:56:18.116752
My ankle has been burning for a day. What might be causing this?,"For lesions, it's advisable to elevate the affected area. If symptoms persist, please consult a healthcare provider.",Dermatological,lesions,dermatitis,advice,2025-02-22T09:56:18.116752
I've been experiencing swelling for a month. What could this be?,"Many people with swelling find relief by avoid strenuous activities until symptoms improve, but this doesn't replace professional medical care.",Musculoskeletal,swelling,bursitis,advice,2024-07-23T09:56:18.116752
What are the common treatments for schizophrenia?,schizophrenia affects the reproductive system and commonly presents with sleep disturbances. Management includes surgical intervention in severe cases.,Psychiatric,sleep disturbances,schizophrenia,information,2025-03-19T09:56:18.116752
I've been experiencing swelling for several months. What could this be?,"swelling can be associated with several conditions including bursitis. However, proper diagnosis requires medical evaluation.",Musculoskeletal,swelling,bursitis,diagnosis,2024-09-18T09:56:18.116752
I've noticed fatigue recently. What could be wrong?,"For fatigue, it's advisable to maintain a balanced diet. If symptoms persist, please consult a healthcare provider.",Cardiovascular,fatigue,hypertension,advice,2024-11-20T09:56:18.116752
How long does wheezing typically last with asthma?,asthma affects the reproductive system and commonly presents with wheezing. Management includes surgical intervention in severe cases.,Respiratory,wheezing,asthma,information,2024-09-19T09:56:18.116752
Are there any home remedies for chest pain?,hypertension affects the urinary system and commonly presents with chest pain. Management includes combination approaches tailored to individual needs.,Cardiovascular,chest pain,hypertension,information,2024-10-27T09:56:18.116752
How long does itching typically last with rosacea?,"In rosacea, patients often experience itching due to genetic factors. Medical approaches include exercise regimens.",Dermatological,itching,rosacea,information,2024-08-12T09:56:18.116752
I've been experiencing redness for a month. What could this be?,"In eczema, patients often experience redness due to genetic factors. Medical approaches include combination approaches tailored to individual needs.",Dermatological,redness,eczema,information,2024-05-12T09:56:18.116752
How long does headache typically last with stroke?,"In stroke, patients often experience headache due to degenerative changes. Medical approaches include stress reduction.",Neurological,headache,stroke,information,2025-03-27T09:56:18.116752
How long does wheezing typically last with asthma?,"Your symptoms of wheezing for several months could suggest asthma, but other causes should be ruled out by a healthcare provider.",Respiratory,wheezing,asthma,diagnosis,2024-08-14T09:56:18.116752
I've been experiencing constipation for two weeks. What could this be?,"To manage constipation, consider apply ice to reduce swelling. However, if the condition worsens, seek medical attention.",Gastrointestinal,constipation,peptic ulcer,advice,2024-07-07T09:56:18.116752
I've noticed limited mobility recently. What could be wrong?,tendinitis affects the musculoskeletal system and commonly presents with limited mobility. Management includes regular monitoring.,Musculoskeletal,limited mobility,tendinitis,information,2024-04-24T09:56:18.116752
What are the common treatments for acne?,"In acne, patients often experience swelling due to metabolic dysfunction. Medical approaches include stress reduction.",Dermatological,swelling,acne,information,2025-01-28T09:56:18.116752
"For the past two weeks, I've had palpitations. Is this serious?",hypertension affects the urinary system and commonly presents with palpitations. Management includes surgical intervention in severe cases.,Cardiovascular,palpitations,hypertension,information,2024-06-29T09:56:18.116752
"For the past several days, I've had abdominal pain. Is this serious?","In gallstones, patients often experience abdominal pain due to infection. Medical approaches include surgical intervention in severe cases.",Gastrointestinal,abdominal pain,gallstones,information,2024-09-13T09:56:18.116752
I've noticed mood changes recently. What could be wrong?,"Many people with mood changes find relief by ensure adequate sleep, but this doesn't replace professional medical care.",Psychiatric,mood changes,anxiety disorder,advice,2024-10-30T09:56:18.116752
"For the past several days, I've had chest pain. Is this serious?","Your symptoms of chest pain for several days could suggest valve disease, but other causes should be ruled out by a healthcare provider.",Cardiovascular,chest pain,valve disease,diagnosis,2025-01-07T09:56:18.116752
"For the past a day, I've had chest pain. Is this serious?","Many people with chest pain find relief by practice stress reduction techniques, but this doesn't replace professional medical care.",Cardiovascular,chest pain,heart failure,advice,2024-07-28T09:56:18.116752
What are the common treatments for osteoarthritis?,osteoarthritis affects the integumentary system and commonly presents with muscle pain. Management includes medication management.,Musculoskeletal,muscle pain,osteoarthritis,information,2024-06-26T09:56:18.116752
I'm concerned about constipation that won't go away. Any advice?,"Your symptoms of constipation for a month could suggest Crohn's disease, but other causes should be ruled out by a healthcare provider.",Gastrointestinal,constipation,Crohn's disease,diagnosis,2024-10-29T09:56:18.116752
